file,class,method,variable,usage
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,"SemaphoreThread/4[org.apache.commons.lang3.concurrent.TimedSemaphore,java.util.concurrent.CountDownLatch,int,int]",count,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,"SemaphoreThread/4[org.apache.commons.lang3.concurrent.TimedSemaphore,java.util.concurrent.CountDownLatch,int,int]",semaphore,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,"SemaphoreThread/4[org.apache.commons.lang3.concurrent.TimedSemaphore,java.util.concurrent.CountDownLatch,int,int]",latch,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,"SemaphoreThread/4[org.apache.commons.lang3.concurrent.TimedSemaphore,java.util.concurrent.CountDownLatch,int,int]",latchCount,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,run/0,count,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,run/0,semaphore,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,run/0,latch,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,run/0,latchCount,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,TypeLiteral/0,T,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,TypeLiteral/0,toString,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,TypeLiteral/0,value,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,equals/1[java.lang.Object],value,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,hashCode/0,value,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,getType/0,value,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,toString/0,toString,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"setCalendar/3[org.apache.commons.lang3.time.FastDateParser,java.util.Calendar,java.lang.String]",field,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"setCalendar/3[org.apache.commons.lang3.time.FastDateParser,java.util.Calendar,java.lang.String]",locale,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"setCalendar/3[org.apache.commons.lang3.time.FastDateParser,java.util.Calendar,java.lang.String]",lKeyValues,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"CaseInsensitiveTextStrategy/3[int,java.util.Calendar,java.util.Locale]",field,5
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"CaseInsensitiveTextStrategy/3[int,java.util.Calendar,java.util.Locale]",locale,5
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,"CaseInsensitiveTextStrategy/3[int,java.util.Calendar,java.util.Locale]",lKeyValues,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,toString/0,field,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,toString/0,locale,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,toString/0,lKeyValues,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableBiConsumer.java,org.apache.commons.lang3.function.FailableBiConsumer,nop/0,NOP,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,unregister/1[java.lang.Object],REGISTRY,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,toHashCode/0,iTotal,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,append/1[short[]],iTotal,2
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,append/1[short[]],iConstant,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,"HashCodeBuilder/2[int,int]",iTotal,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,"HashCodeBuilder/2[int,int]",iConstant,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,equals/1[java.lang.Object],iTotal,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,"reflectionHashCode/2[java.lang.Object,boolean]",DEFAULT_MULTIPLIER_VALUE,1
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,"reflectionHashCode/2[java.lang.Object,boolean]",DEFAULT_INITIAL_VALUE,1
